,Time,Names,ConfirmedCases,Recovered,Deaths,Population,LandArea,MedianAge,German
282,2020-03-23,EL SALVADOR,3,0,0,6486205,20720,28,El Salvador
283,2020-03-23,EQUATORIAL GUINEA,6,0,0,1402985,28050,22,Äquatorialguinea
284,2020-03-23,ERITREA,1,0,0,3546421,101000,19,Eritrea
285,2020-03-23,ESTONIA,326,4,4,1326535,42390,42,Estland
286,2020-03-23,ESWATINI,4,0,0,1160164,17200,21,Eswatini
287,2020-03-23,ETHIOPIA,11,0,0,114963588,1000000,19,Äthiopien
288,2020-03-23,FIJI,3,0,0,896445,18270,28,Fiji
289,2020-03-23,FINLAND,626,10,10,5540720,303890,43,Finnland
290,2020-03-23,FRANCE,16243,2200,2200,65273511,547557,42,Frankreich
291,2020-03-23,FRENCH GUIANA,18,0,0,298682,82200,25,Französisch-Guayana
292,2020-03-23,FRENCH POLYNESIA,18,0,0,280908,3660,34,Französisch Polynesien
293,2020-03-23,GABON,5,0,0,2225734,257670,23,Gabon
294,2020-03-23,GAMBIA,1,0,0,2416668,10120,18,Gambia
295,2020-03-23,GEORGIA,54,3,3,3989167,69490,38,Georgia
296,2020-03-23,GERMANY,28622,394,394,83783942,348560,46,Deutschland
297,2020-03-23,GHANA,24,0,0,31072940,227540,22,Ghana
298,2020-03-23,GREECE,624,19,19,10423054,128900,46,Griechenland
299,2020-03-23,GRENADA,1,0,0,112523,340,32,Grenada
300,2020-03-23,GUADELOUPE,58,0,0,400124,1690,44,Guadeloupe
301,2020-03-23,GUAM,27,0,0,168775,540,31,Guam
302,2020-03-23,GUATEMALA,19,0,0,17915568,107160,23,Guatemala
303,2020-03-23,GUINEA,2,0,0,13132795,245720,18,Guinea
304,2020-03-23,GUINEA-BISSAU,0,0,0,1968001,28120,19,Guinea-Bissau
305,2020-03-23,GUYANA,19,0,0,786552,196850,27,Guyana
306,2020-03-23,HAITI,2,0,0,11402528,27560,24,Haiti
307,2020-03-23,HONDURAS,27,0,0,9904607,111890,24,Honduras
308,2020-03-23,HUNGARY,167,16,16,9660351,90530,43,Ungarn
309,2020-03-23,ICELAND,568,5,5,341243,100250,37,Island
310,2020-03-23,INDIA,428,24,24,1380004385,2973190,28,Indien
311,2020-03-23,INDONESIA,514,29,29,273523615,1811570,30,Indonesien
312,2020-03-23,IRAN,21638,7913,7913,83992949,1628550,32,Iran
313,2020-03-23,IRAQ,233,57,57,40222493,434320,21,Irak
314,2020-03-23,IRELAND,906,5,5,4937786,68890,38,Irland
315,2020-03-23,ISRAEL,1238,37,37,8655535,21640,30,Israel
316,2020-03-23,ITALY,59138,7024,7024,60461826,294140,47,Italien
317,2020-03-23,JAMAICA,19,2,2,2961167,10830,31,Jamaika
318,2020-03-23,JAPAN,1101,272,272,126476461,364555,48,Japan
319,2020-03-23,JORDAN,112,1,1,10203134,88780,24,Jordan
320,2020-03-23,KAZAKHSTAN,60,0,0,18776707,2699700,31,Kasachstan
321,2020-03-23,KENYA,15,0,0,53771296,569140,20,Kenia
322,2020-03-23,KIRIBATI,0,0,0,119449,810,23,Kiribati
323,2020-03-23,KUWAIT,188,30,30,4270571,17820,37,Kuwait
324,2020-03-23,KYRGYZSTAN,14,0,0,6524195,191800,26,Kyrgyzstan
325,2020-03-23,LAO PEOPLE'S DEMOCRATIC REPUBLIC,0,0,0,-1,-1,-1,Laos
326,2020-03-23,LATVIA,139,1,1,1886198,62200,44,Lettland
327,2020-03-23,LEBANON,248,8,8,6825445,10230,30,Libanon
328,2020-03-23,LESOTHO,0,0,0,2142249,30360,24,Lesotho
329,2020-03-23,LIBERIA,3,0,0,5057681,96320,19,Liberia
330,2020-03-23,LIBYA,0,0,0,6871292,1759540,29,Libyen
331,2020-03-23,LITHUANIA,143,1,1,2722289,62674,45,Litauen
332,2020-03-23,LUXEMBOURG,798,6,6,625978,2590,40,Luxemburg
333,2020-03-23,MADAGASCAR,12,0,0,27691018,581795,20,Madagaskar
334,2020-03-23,MALAWI,0,0,0,19129952,94280,18,Malawi
335,2020-03-23,MALAYSIA,1306,139,139,32365999,328550,30,Malaysia
336,2020-03-23,MALDIVES,13,3,3,540544,300,30,Malediven
337,2020-03-23,MALI,0,0,0,20250833,1220190,16,Mali
338,2020-03-23,MALTA,90,2,2,441543,320,43,Malta
339,2020-03-23,MARTINIQUE,44,0,0,375265,1060,47,Martinique
340,2020-03-23,MAURITANIA,2,0,0,4649658,1030700,20,Mauritanien
